site_code,location_type,lat,long,begin_date,begin_date_month,begin_date_year,end_date,end_date_month,end_date_year
NDV-M,NDV,33.310718699999995,-111.68083778,,,,2016-05-05,5.0,2016.0
NDV-N,NDV,33.31423902,-111.6808283,,,,2016-05-05,5.0,2016.0
NDV-O,NDV,33.31160861,-111.67849193,,,,2016-05-05,5.0,2016.0
NDV-X,NDV,33.31232878,-111.6809102,,,,2016-05-05,5.0,2016.0
O-9,ESCA,33.70631712,-112.35713683,,,,,,
P-16,ESCA,33.48209987,-112.30388325,,,,,,
P-18,ESCA,33.4117783,-112.29121618,,,,2016-05-05,5.0,2016.0
PE-10B,riparian,33.38940105,-112.25664033,,,,2016-05-05,5.0,2016.0
PE-11A,riparian,33.362931,-111.7351686,,,,2016-05-12,5.0,2016.0
PE-13A,riparian,33.59830306,-112.06876055,,,,2016-04-20,4.0,2016.0
PE-1D,riparian,33.43499182,-111.90406077,,,,2016-05-02,5.0,2016.0
PN-1B,riparian,33.54746413,-111.65684525,,,,2016-05-03,5.0,2016.0
PN-2A,riparian,33.63757429,-111.66807055,,,,2016-04-21,4.0,2016.0
PN-7A,riparian,33.88142221,-111.95861145,,,,2016-05-04,5.0,2016.0
Price_up_B1,SRBP,33.43850191,-111.88609801,,1.0,2013.0,,,
Priest_dwn_B1,SRBP,33.43576689,-111.96029671,,1.0,2013.0,,,
PWP,desert_fertilization,33.56412,-112.01406000000001,,,,,,
PWRA,PASS,33.20731,-111.70968,,,,,,
PWRB,PASS,33.24183,-111.71893999999999,,,,,,
PWRC,PASS,33.25643,-111.75764,,,,,,
Q-15,PASS,33.5063944266923,-112.25657938910801,,,,,,
Q-15B,PASS,33.50165,-112.266,,,,,,
Q-15C,PASS,33.49738,-112.25745,,,,,,
Q-7,ESCA,33.78404344,-112.25000446,,,,2016-05-02,5.0,2016.0
R-12,ESCA,33.60711789,-112.1936152,,,,2016-04-21,4.0,2016.0
R-18,PASS,33.418739777382,-112.198706101637,,,,,,
R-18B,PASS,33.41015,-112.21421000000001,,,,,,
R-18C,PASS,33.397529999999996,-112.17001,,,,,,
Rio_mid_B2,SRBP,33.4218821,-112.07512158,,1.0,2013.0,,3.0,2016.0
Rio_mid_B2,SRBP,33.42176526,-112.07501513,,4.0,2016.0,,,
S-16,ESCA,33.4667159,-112.14184589,,,,2016-05-05,5.0,2016.0
SMW,desert_fertilization,33.34228,-112.07801,,,,,,
SRR,desert_fertilization,33.54671,-111.57948,,,,,,
T-11,ESCA,33.64813901,-112.13299133,,,,2016-05-04,5.0,2016.0
T-11,ESCA,33.64816,-112.13335,,,,,,
T-13,ESCA,33.57300865,-112.13901448,,,,2016-04-21,4.0,2016.0
T-13,ESCA,33.572990000000004,-112.13908,,,,,,
T-19,ESCA,33.37853123,-112.12080379,,,,,,
Tonto_up_B1,SRBP,33.5585114,-111.60882633,,1.0,2013.0,,,
TRSA,PASS,33.433890000000005,-112.24508999999999,,,,,,
TRSB,PASS,33.42514,-112.28805,,,,,,
TRSC,PASS,33.40209,-112.27385,,,,,,
U-12,ESCA,33.62723965,-112.0784989,,,,2016-04-20,4.0,2016.0
U-12,ESCA,33.62722,-112.07862,,,,,,
U-13,ESCA,33.59794339,-112.08326720000001,,,,2016-04-20,4.0,2016.0
U-13,ESCA,33.59796,-112.08335,,,,,,
U-18,PASS,33.4012860120768,-112.09064820221,,,,,,
U-18B,PASS,33.40558,-112.09828999999999,,,,,,
U-18C,PASS,33.40068,-112.09386,,,,,,
U-21,PASS,33.31905,-112.0597,,,,,,
U-21,PASS,33.3191814589109,-112.059721033551,,,,2016-03-14,3.0,2016.0
U-21B,PASS,33.3071,-112.08096,,,,,,
U-21C,PASS,33.30652,-112.04608999999999,,,,,,
U-8,ESCA,33.77088888,-112.09187265,,,,2016-05-04,5.0,2016.0
U-8,ESCA,33.7711,-112.0919,,,,,,
UMP,desert_fertilization,33.46646,-111.61554,,,,,,
V-13,ESCA,33.58346223,-112.02280878,,,,2016-04-19,4.0,2016.0
V-14,ESCA,33.55222,-112.05476999999999,,,,,,
V-14,ESCA,33.55217502,-112.05474325,,,,2016-04-19,4.0,2016.0
V-14B,PASS,33.54785,-112.05521,,,,,,
V-14C,PASS,33.546009999999995,-112.05283,,,,,,
V-16,ESCA,33.471134262000106,-112.046812844,,,,2016-05-02,5.0,2016.0
V-18,ESCA,33.38786046,-112.02883017,,,,2014-03-28,3.0,2014.0
V-20,ESCA,33.32819623,-112.03228427,,,,,,
W-15,ESCA,33.52388542,-111.99231927,,,,,,
W-15B,PASS,33.51892,-111.99351000000001,,,,,,
W-15C,PASS,33.52015,-111.97997,,,,,,
W-17,ESCA,33.44463972,-111.99955512,,,,2012-05-07,5.0,2012.0
W-17,ESCA,33.44471,-111.99965700000001,2013-01-04,1.0,2013.0,2016-05-01,5.0,2016.0
W-6,ESCA,33.82083085,-112.01090472,,,,2016-05-04,5.0,2016.0
WTM,desert_fertilization,33.60488,-112.49995,,,,,,
X-17,PASS,33.425592744693496,-111.959822,,,,,,
X-17B,PASS,33.42544,-111.95321000000001,,,,,,
X-17C,PASS,33.427890000000005,-111.9551,,,,,,
X-18,ESCA,33.41962662,-111.92893323,,,,2016-04-19,4.0,2016.0
X-8,ESCA,33.7766713,-111.95039023,,,,,,
Y-19,ESCA,33.37724,-111.91532,,,,,,
Y-19,ESCA,33.37725132,-111.91527491,,,,2016-05-09,5.0,2016.0
Z-23,ESCA,33.21913568,-111.87169497,,,,2016-05-12,5.0,2016.0
Z-23,ESCA,33.21929,-111.87161,,,,,,
